Temporada,Num Programa Temporada,Num Programa Global,Fecha,Tema,Tema Descripcion,Recomendacion Tipo,Recomendacion Titulo,Recomendacion Mas Info,Recomendacion Link,Musica Titulo,Musica Autor,Musica Mas Info,Musica Link,Archivo Audio,Advertencia
5,9,179,7 de Abril de 2022,El Tiempo,Husos horarios y su relación con la Astronomía,Libro,El Tiempo a través del tiempo,"Kristen Lippincott, Umberto Eco, E. H. Gombrich. Editorial Grijalb",,,,,,UNA_VENTANA_AL_UNIVERSO_07_04_22.mp3,
5,8,178,31 de Marzo de 2022,El Tiempo,,Libro,"Matadero Cinco, La Cruzada de los Niños","Kurt Vonnegut, Editorial Blackie Books",,Marcha Radetzky,Johann Strauss,"Concierto de Año Nuevo 2022. Interpretada por la Orquesta Filarmónica de Viena, dirigida por Daniel Barcinboim.",,UNA_VENTANA_AL_UNIVERSO_31_MARZO_2022.mp3,
5,7,177,24 de Marzo de 2022,Los Exoplanetas,,Libro,Mundo Anillo,"Larry Niven, Editorial Roca",,"5,000 Exoplanets: Listen to the Sounds of Discovery",NASA Data Sonification,,,UNA_VENTANA_AL_UNIVERSO_24_MARZO_2022.mp3,
5,6,176,17 de Marzo de 2022,William Herschel,Construyendo los Cimientos del cielo II,Documental,"Cosmos, Capítulo 5",Un cielo repleto de fantasmas,,Sweet Caroline,Neil Diamond,,,UNA_VENTANA_AL_UNIVERSO_17_MARZO_2022.mp3,
5,5,175,10 de Marzo de 2022,Caroline Herschel,Construyendo los Cimientos del cielo I,Libro,The Construction of the Heavens,William Herschel´s Cosmology. Michael Hoskin. Editorial: Cambridge,,Sinfonía para cuerdas nº 8 en Do menor,William Herschel,,,UNA_VENTANA_AL_UNIVERSO_10_MARZO_2022.mp3,
5,4,174,3 de Marzo de 2022,Estrellas binarias,,Libro,Estrellas Binarias Interactivas,"Juan Echeverria, Fondo de Cultura Economica, num 49. Fecha de Publicación: 1987",,"Serenata No. 13 para cuerdas en sol mayor, (Pequeña serenata nocturna), K 525.",Wolfgang Amadeus Mozart,,,UNA_VENTANA_AL_UNIVERSO_03_MARZO_2022.mp3,
5,3,173,24 de Febrero de 2022,¿Qué son las estrellas?,,Libro,De estrellas y hombres,"La respuesta humana a un universo en expansión. Por Harlow Shapley. Editorial, Fondo de Cultura Económica.",,Banda sonora original de la película Star Trek,Gene Roddenberry,,,UNA_VENTANA_AL_UNVERSO_24_FEB_22.mp3,
5,2,172,17 de Febrero de 2022,El inicio del universo,"Cómo se sabe la edad, el tamaño, la composición química del universo primitivo, y otras características del mismo.",Libro,Universo sin límites,De la Gran Explosión a los Quarks. Por Christine Allen y Miguel Ángel Herrera,,"Banda sonora original de la película ""La guerra de las galaxias (Star Wars)""",Sir John Williams,,,UNA_VENTANA_AL_UNVERSO_17_FEB_22.mp3,
5,1,171,10 de Febrero de 2022,El Universo,,Libro,Cosmos,"Carl Sagan, Editorial Planeta",,Heaven and Hell,Vangelis,"Primer track del Álbum que preparo como Soundtrack para el programa de Carl Sagan, ""COSMOS"".",https://www.youtube.com/watch?v=R9QHqpdczH0,UNA_VENTANA_AL_UNVERSO_10_FEB_22.mp3,
4,7,153,21 de Agosto de 2019,"Músico y Astrónomo, Sir William Herschel.",,Libro,La construcción de los cielos,"Cosmología de William Herschel. Michael Hoskin, Churchill College, Cambridge. Publicado en Febrero de 2012.SBN: 9781107018389",,Uranus,Sleeping At Last,,https://www.youtube.com/watch?v=-DJMvtBP4qQ,una_ventana_al_universo_21_agto_19.mp3,Debido a problemas técnicos el programa inició más de 5 minutos tarde.
4,6,152,14 de Agosto de 2019,Aplicaciones del vacío. El taller de óptica de la SAG.,,Película,Prospect,,https://www.imdb.com/title/tt7946422/, Primer movimiento de la sinfonía para cuerdas No. 8 en Do menor,William herchel,,https://www.youtube.com/watch?v=7BehLlyqYk8,una_ventana_al_universo_14_agto_19.mp3,
4,5,151,7 de Agosto de 2019,El vacío en el Universo,,Libro,La historia interminable,Michael Ende,https://es.wikipedia.org/wiki/La_historia_interminable,Never Ending Story,Limahl,,,una_ventana_al_universo_07_agto_19.mp3,
